ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
1 DARBY ROAD,799900,21-Sep-21,961000,4,4,,1500,50,2-Storey,Full,,,2021,5061.76,110.05,58.51,-,Onward Willow,ResidentialProperty,43.5219349,-80.2804549
1 EASTVIEW ROAD,774900,17-Jul-21,890000,4,3,,,,Bungalow,Finished,,,2021,4685,66.56,128,-,Grange Hill East,ResidentialProperty,43.564967,-80.24186
1 FERNBANK PLACE,1199900,17-Sep-21,1385000,6,3,,2000,50,2-Storey,Finished,2021,544000,2021,6110,,93,-,Kortright Hills,ResidentialProperty,43.502716,-80.237331
1 PORTER DRIVE,989888,17-May-21,1065000,7,4,2,,,2-Storey,Finished,,,2021,6042,,48.75,-,Pine Ridge,ResidentialProperty,43.506626,-80.189371
1 SIMMONDS DRIVE,899900,26-May-21,999000,5,3,,2000,15,2-Storey,Finished,,,2021,5053,115,47,713581046,Brant,ResidentialProperty,43.5791034,-80.269716
1 SINCLAIR STREET,899999,21-Sep-21,900000,6,3,,,,2-Storey,Finished,2021,427000,2021,4878,82,38,711861547,Guelph South,ResidentialProperty,43.5064071,-80.1860378
1 STIRLING PLACE,689000,03-May-21,690000,4,3,,1100,50,Sidesplit 3,Finished,2021,326000,2020,3660.47,62.94,100,712950049,June Avenue,ResidentialProperty,43.5569591,-80.2806073
1 WESTHILL ROAD,789900,28-May-21,790000,9,3,1,1100,50,2-Storey,Finished,2021,364000,2020,4259,72.14,95.01,-,West Willow Woods,ResidentialProperty,43.5290665,-80.2873682
10 BRIGHT LANE,1475000,09-Oct-21,1625000,4,4,,2500,15,2-Storey,Finished,2021,762000,2021,8706.68,105,54,-,Guelph South,ResidentialProperty,43.51570472,-80.1842601
10 EDWIN STREET,849900,14-May-21,845000,7,6,3,,100,2 1/2 Storey,Full,,,2021,5153.84,53,42,-,Exhibition Park,ResidentialProperty,43.5495119,-80.2564788
10 EMSLIE STREET,699900,03-Nov-21,729000,15,4,,1500,100,2-Storey,Full,,,2021,4890,75,44,-,Central West,ResidentialProperty,43.5374801,-80.2524256
10 KIPLING AVENUE,879900,28-Sep-21,1009000,6,4,,1500,50,Backsplit 3,Part Bsmt,2021,474000,2021,5415.97,120,49.21,712670230,West Willow Woods,ResidentialProperty,43.5308009,-80.2955043
10 MAUDE LANE,779900,08-May-21,815000,5,3,,,15,2-Storey,Full,,,2020,4603.65,119.75,30.09,713560829,Grange Hill East,ResidentialProperty,43.58007984,-80.22323251
10 MCINTYRE COURT,1339950,16-Oct-21,1350000,8,4,1,,5,2-Storey,Apartment,,,2021,6238.65,104.11,32.9,-,Guelph South,ResidentialProperty,43.5052191,-80.1803894
10 PALMER STREET,699000,05-Sep-21,645000,118,2,,,,Bungalow,Unfinished,,,2021,4008.54,72,33.33,-,Central East,ResidentialProperty,43.5497119,-80.2485057
10 WHISPERING RIDGE,699500,17-Nov-21,720000,16,3,,1500,50,Bungalow,Fin W/O,,,2021,3702.05,100,30,-,Kortright Hills,ResidentialProperty,43.51444927,-80.23596569
100 EMMA STREET,499900,07-Dec-21,576100,7,3,,,99,1 1/2 Storey,Part Fin,,,2021,3537,100,57.85,-,Central West,ResidentialProperty,43.56135071,-80.25788724
101 COULING CRESCENT SOUTH,1200000,19-Nov-21,1425000,1,4,,2000,15,2-Storey,Finished,2021,577000,2021,6592.85,196,32,-,Grange Hill East,ResidentialProperty,,
102 FLAHERTY DRIVE,899000,29-Oct-21,1030000,1,3,2,,,Bungalow,Fin W/O,,,2020,5712,,50.79,-,West Willow Woods,ResidentialProperty,43.52956826,-80.30511895
104 LOVETT LANE,1199000,04-Aug-21,1151000,14,3,,1500,5,2-Storey,Full,,,2021,5107,106,36,-,Hanlon Creek,ResidentialProperty,43.5150129,-80.2127747
106 DALLAN DRIVE,1549000,11-Aug-21,1465000,30,4,,2000,5,2-Storey,Finished,,,2020,6490.02,88.42,39.37,-,Guelph South,ResidentialProperty,43.5040011,-80.1799479
107 SPEEDVALE AVENUE WEST,799000,10-May-21,850000,4,3,3,,99,Bungalow,Apartment,,,2020,4098.37,126,66.1,712960086,June Avenue,ResidentialProperty,43.55366335,-80.27504241
107 TEAL DRIVE,999999,18-Sep-21,1175000,3,3,1,2000,30,2-Storey,Apartment,,,2021,6238,131,40,-,Kortright Hills,ResidentialProperty,43.49780905,-80.2263334
108 KORTRIGHT ROAD EAST,1508700,26-Oct-21,1495000,12,3,1,2500,15,2-Storey,Finished,2021,679000,2021,7758.32,140,53,715050626,Village,ResidentialProperty,43.52973358,-80.2072623
108 SHERIDAN STREET,750000,12-Sep-21,910000,4,3,2,1100,99,Bungalow,Finished,2021,397000,2021,4536.16,104,71.13,713050098,Waverley,ResidentialProperty,43.57327353,-80.2557175
109 SUFFOLK STREET WEST,1199000,11-May-21,1355000,12,4,,3500,100,2-Storey,Unfinished,,,2020,8769.4,106.5,53.08,712920067,Exhibition Park,ResidentialProperty,43.54554736,-80.25863201
11 BRADY LANE,1000000,25-Oct-21,1230000,5,4,2,2000,50,2-Storey,Finished,,,2021,6901,,115.81,-,Village,ResidentialProperty,43.52241375,-80.21076028
11 DUCK LANE,1175000,05-Nov-21,1280000,2,3,1,,,2-Storey,Finished,2021,533000,2021,6090.11,109,36,-,Guelph South,ResidentialProperty,43.51117498,-80.17914575
11 HENDERSON DRIVE,899000,28-Aug-21,908000,23,3,,1500,15,2-Storey,Finished,,,2021,5016.05,114,31,713560616,Grange Hill East,ResidentialProperty,43.57823494,-80.22041865
11 MCCURDY ROAD,824900,25-Oct-21,905000,5,3,,1500,15,2-Storey,Finished,,,2021,4479.03,131,31,-,Kortright Hills,ResidentialProperty,43.5124985,-80.211692
11 MILLER STREET,1200000,16-Nov-21,1410000,5,4,1,2500,30,2-Storey,Finished,2021,595000,2021,6799,105,44.95,711861138,Pine Ridge,ResidentialProperty,43.516237,-80.18803943
11 RYDE ROAD,750000,24-Nov-21,912500,6,3,,,,2-Storey,Finished,2021,352000,2021,4021.98,110,33,712590281,West Willow Woods,ResidentialProperty,43.52772428,-80.28147074
11 SHIRLEY AVENUE,850000,16-Nov-21,1106000,6,4,,1100,99,2-Storey,Finished,2021,407000,2021,4650,100,89,713250054,Central East,ResidentialProperty,43.5581783,-80.245998
11 WEIR DRIVE,1149999,01-Jun-21,1150000,4,4,,2000,30,2-Storey,Full,,,2021,6250,,79,-,Kortright Hills,ResidentialProperty,43.49837299,-80.23908905
11 WESTMINSTER AVENUE,849900,31-Aug-21,864900,6,4,,1500,99,Sidesplit 4,Part Fin,,,2021,4443.3,100,61.55,-,Central East,ResidentialProperty,43.56578126,-80.24531484
11 WILKIE CRESCENT,799900,16-Aug-21,875000,5,3,,,,2-Storey,Finished,2021,412000,2021,412000,110,30,-,Guelph South,ResidentialProperty,43.50797959,-80.18069534
111 LANE STREET,895000,16-May-21,905000,4,3,1,,,2-Storey,Unfinished,,,2020,5300,154.68,79,-,Two Rivers,ResidentialProperty,43.557355,-80.2433765
111 PTARMIGAN DRIVE,1489900,25-Oct-21,1500000,12,3,,2500,30,2-Storey,Finished,,,2021,7040.21,199.47,59.05,712170003,Kortright Hills,ResidentialProperty,43.50341383,-80.24587117
111 STEVENSON STREET NORTH,524000,10-Jun-21,551000,1,4,,1100,,1 1/2 Storey,Full,,,2020,4143,241.5,36.52,-,Central East,ResidentialProperty,43.55630124,-80.23894454
113 GRANGE STREET,739900,06-Aug-21,719000,25,2,,1100,100,Bungalow,Full,2021,335000,2021,3827.74,165,59.51,-,Central East,ResidentialProperty,43.5536137,-80.2392279
114 BAXTER DRIVE,1299000,07-Oct-21,1335000,1,4,,2500,15,2-Storey,Full,,,2021,6878.51,110.83,37.53,-,Pine Ridge,ResidentialProperty,43.51298603,-80.17672273
114 WILLIAM STREET,799900,02-Jun-21,800000,8,2,1,1100,99,Bungalow,Finished,,,2020,3795.21,101.37,56.64,-,Central East,ResidentialProperty,43.56059782,-80.24265774
118 QUEEN STREET,1250000,18-May-21,1370000,7,4,1,2000,100,2 1/2 Storey,Finished,,,2020,5457,114,30,-,Waverley,ResidentialProperty,43.6219583,-80.1430048
12 BAILEY AVENUE,899900,08-Dec-21,1110000,8,4,1,1500,30,2-Storey,Finished,,,2021,5199,136.84,30.18,713020117,June Avenue,ResidentialProperty,43.55831576,-80.27297414
12 BRADY LANE,1195000,09-Nov-21,1195000,5,3,2,2500,50,2-Storey,Finished,2021,705000,2021,8055.39,,50,715040031,Village,ResidentialProperty,43.52239875,-80.21104561
122 GRANGE STREET,795000,20-Oct-21,770000,41,4,,1500,100,Bungalow,Full,2020,376000,2021,4296.21,97,66.48,713340096,Central East,ResidentialProperty,43.5538623,-80.239234
122 YORKSHIRE STREET NORTH,850000,25-Jun-21,835000,34,4,,,,2-Storey,Full,2021,409000,2020,4592,72,39.89,712890083,Central West,ResidentialProperty,43.54230634,-80.25805894
124 GLASGOW STREET NORTH,1249900,10-May-21,1525000,6,4,2,2500,15,2-Storey,Finished,2021,613000,2021,6883.02,102.91,50,712910200,Exhibition Park,ResidentialProperty,43.5449532,-80.2575799
124 KORTRIGHT ROAD WEST,628888,06-May-21,736888,7,3,5,1500,,2-Storey,Finished,,,2020,4558,109.91,49.77,-,Kortright Hills,ResidentialProperty,43.51605241,-80.21737589
125 ARTHUR STREET NORTH,599000,18-Jun-21,640000,8,2,,700,99,Bungalow,Crawl Space,,,2020,4839.45,,89,713220029,Central East,ResidentialProperty,43.5495298,-80.2488414
126 ARTHUR STREET NORTH,849900,07-Jun-21,975669,6,1,,1500,100,2-Storey,Full,,,2021,5431,159,33,-,Exhibition Park,ResidentialProperty,43.54928764,-80.249102
126 IRONWOOD DRIVE,698000,13-Nov-21,695000,16,3,,,,2-Storey,Finished,,,2021,3347.84,71,50,-,Grange Hill East,ResidentialProperty,,
127 IRONWOOD ROAD,680000,04-Jun-21,675000,28,3,2,1100,,2-Storey,Finished,,,2020,3727.84,112.56,29.86,-,Hanlon Creek,ResidentialProperty,43.51490927,-80.23251394
127 KINGSMILL AVENUE,599900,02-Jul-21,645000,9,2,1,700,100,1 1/2 Storey,Full,2021,287000,2020,3279.29,78.33,30,712370492,Two Rivers,ResidentialProperty,43.54879657,-80.22468981
127 PTARMIGAN DRIVE,775000,30-Aug-21,785100,13,3,,1100,,2-Storey,Part Fin,,,2021,4261.93,170.6,32.15,714890109,Kortright Hills,ResidentialProperty,43.50417768,-80.24623548
13 DURHAM STREET,1150000,16-Jul-21,1100000,16,4,,1500,100,2-Storey,Full,2021,507000,2021,5793,104,74,712880135,Central West,ResidentialProperty,43.5425746,-80.2528742
13 PETER AVENUE,599900,04-May-21,762500,6,2,,700,99,1 1/2 Storey,Full,,,2021,3593,92,53,-,Waverley,ResidentialProperty,43.55987821,-80.26072053
130 ALICE STREET,509900,31-Aug-21,576000,7,3,,,,Bungalow,Full,,,2021,2879.38,105.25,33.01,713420160,Central East,ResidentialProperty,43.54808825,-80.23570554
130 ARTHUR STREET NORTH,1124000,16-Nov-21,1229000,11,2,1,1100,100,Bungalow,Fin W/O,2021,558000,2021,6375.75,159,45,713360011,Two Rivers,ResidentialProperty,43.54930758,-80.2493251
137 COUNTRY CLUB DRIVE,649900,22-Sep-21,830000,6,2,1,700,,Bungalow,Finished,,,2021,3667.77,115,55,-,Two Rivers,ResidentialProperty,43.5738636,-80.26916683
137 RODGERS ROAD,599900,15-Nov-21,732000,5,3,,1100,30,2-Storey,Full,2021,361000,2021,4124.82,,26,714900875,Hanlon Creek,ResidentialProperty,43.511621,-80.217165
138 DOWNEY ROAD,1149000,15-Jul-21,1130000,7,4,,2000,50,2-Storey,Finished,2021,523000,2021,5976,138,59,712190044,Kortright Hills,ResidentialProperty,43.49865143,-80.23498455
14 COLLINGWOOD STREET,699900,09-Oct-21,735000,2,3,,,,1 1/2 Storey,Finished,2021,329000,2021,3759.18,110,52,713080137,Waverley,ResidentialProperty,43.56638655,-80.26383832
14 EMENY LANE,1599000,21-Aug-21,1400000,96,4,1,3000,0,2-Storey,W/O,,,2021,9038.04,83.67,57.15,-,Kortright Hills,ResidentialProperty,43.5180321,-80.2013607
14 FORSTER DRIVE,1299000,07-May-21,1485000,8,5,,2500,50,2-Storey,Finished,2021,708000,2021,7958,125,62,715050204,Village,ResidentialProperty,43.525669,-80.21081
14 HOLLYBERRY PLACE,839900,06-May-21,960069,6,3,,1500,50,2-Storey,Full,2021,449000,2020,5041.56,106,35.53,712540607,Parkwood Gardens,ResidentialProperty,43.52172,-80.2814762
14 LAURINE AVENUE,449900,25-Aug-21,550000,6,2,,700,,Bungalow,Sep Entrance,,,2020,2728.51,104,35.01,-,Two Rivers,ResidentialProperty,43.5548233,-80.2416867
14 LOCKYER ROAD,1200000,13-Jul-21,1350000,5,5,,2000,99,2-Storey,Full,2021,587000,2021,6707.11,150,83.99,-,Old University,ResidentialProperty,43.5276286,-80.2467508
14 PRIMROSE LANE,869000,29-Jul-21,940000,3,4,,1500,30,Backsplit 4,Finished,2021,428000,2021,4805.77,,51.91,712630041,West Willow Woods,ResidentialProperty,43.5337356,-80.291963
14 TRUESDALE CRESCENT,799900,15-Jun-21,800000,19,5,,1100,,2 1/2 Storey,Full,,,2020,4210.66,103.77,30.18,-,Hanlon Creek,ResidentialProperty,43.51348346,-80.2092308
143 DEERPATH DRIVE,799900,17-May-21,911000,5,3,,,30,2-Storey,Finished,,,2020,5100,116.48,43.11,-,Parkwood Gardens,ResidentialProperty,43.52761025,-80.27005524
143 ELMIRA ROAD,848888,07-Dec-21,1235000,1,4,2,2500,30,2-Storey,Finished,2021,523000,2021,5976,123.32,49,2389,West Willow Woods,ResidentialProperty,,
145 SUFFOLK STREET WEST,938000,24-Aug-21,870000,43,2,,1100,100,Bungalow,Full,2021,431000,2021,4924.64,98,59,712920038,Central West,ResidentialProperty,43.5448711,-80.25989188
147 KING STREET,1349900,07-Oct-21,1325000,7,4,,1500,,2 1/2 Storey,Full,2021,427000,2021,5873,100,72,73190280,Two Rivers,ResidentialProperty,43.5521235,-80.2514196
149 FIFE ROAD,700000,12-Jul-21,740000,5,4,,1500,50,2-Storey,Full,2021,412000,2021,4707.55,139,50,-,West Willow Woods,ResidentialProperty,43.51457923,-80.27485402
15 DUCK LANE,999999,18-May-21,1140000,21,4,1,,,2-Storey,Fin W/O,,,2020,5626,,36,-,Pine Ridge,ResidentialProperty,43.5114025,-80.1788685
15 LAVERNE AVENUE,799900,16-Jul-21,753598,22,3,1,,,Bungalow,Sep Entrance,,,2020,3682.93,117,55,-,Brant,ResidentialProperty,43.56330828,-80.24601541
15 LONSDALE DRIVE,689900,07-Jun-21,850000,4,3,,1100,99,Sidesplit 3,Finished,2021,342000,2021,3907.72,100,56,712950148,Exhibition Park,ResidentialProperty,43.55349453,-80.27869525
152 PAISLEY STREET,749900,21-Oct-21,800000,8,3,,1100,100,2 1/2 Storey,Full,2021,389000,2021,4444.75,122,36,712890080,Central West,ResidentialProperty,43.54243509,-80.25850242
152 WAVERLEY DRIVE,699000,09-Jul-21,682888,11,3,,700,50,Bungalow,Sep Entrance,2021,318000,2021,3793,110,50,-,Waverley,ResidentialProperty,43.5728871,-80.257465
154 ALICE STREET,499500,26-Oct-21,400000,12,2,,,100,Bungalow,Unfinished,,,2020,2092.56,48.42,27.58,713420174,Two Rivers,ResidentialProperty,43.54864962,-80.23491942
154 CLAIRFIELDS DRIVE WEST,899999,31-May-21,880000,11,3,1,2000,30,Backsplit 3,Full,,,2020,5313.13,110,40,-,Pine Ridge,ResidentialProperty,43.4982691,-80.19917983
154 GOODWIN DRIVE,1129000,13-Jul-21,1220000,5,3,,3000,30,2 1/2 Storey,Finished,2021,614000,2020,7236,117,40,71186235,Clairfields,ResidentialProperty,43.510373,-80.179034
158 YORK ROAD,499900,12-Oct-21,581000,8,2,,700,100,Bungalow,Part Bsmt,2021,197000,2021,2200,58,38,713400080,Two Rivers,ResidentialProperty,43.5438873,-80.2350662
16 BLAIR DRIVE,1099990,21-Nov-21,1180000,6,4,2,,,2-Storey,Finished,,,2021,5518.8,104.99,40.03,711860941,Pine Ridge,ResidentialProperty,43.51088443,-80.1870418
16 GORMAN COURT,1249000,26-May-21,1138000,20,4,2,2000,5,2-Storey,Finished,,,2021,5954.48,100.45,27.49,-,West Willow Woods,ResidentialProperty,,
16 ISLINGTON AVENUE,749000,14-Oct-21,889000,1,3,1,,50,Sidesplit 4,Part Fin,,,2021,4207.6,,45.27,713580671,Waverley,ResidentialProperty,43.5778368,-80.26312191
16 ONTARIO STREET,538800,08-Nov-21,530000,8,2,,,,Bungalow,Crawl Space,,,2021,1954,117,41,713400014,Two Rivers,ResidentialProperty,43.54438343,-80.24000717
16 SLOAN AVENUE,599000,06-Sep-21,715000,4,3,2,1100,,Bungalow-Raised,Fin W/O,,,2021,3713.48,91.25,42.19,713440107,Grange Hill East,ResidentialProperty,43.55801112,-80.21780114
16 SOUTHCREEK TRAIL,649900,24-Aug-21,850000,4,3,,,30,2-Storey,Unfinished,,,2021,4044.84,113.9,33.96,714900462,Kortright Hills,ResidentialProperty,43.51076651,-80.21657632
16 TIFFANY STREET EAST,595000,15-Jun-21,655000,7,3,,1100,100,2-Storey,Part Bsmt,2021,367000,2020,3772.75,67.33,21.17,713190168,Exhibition Park,ResidentialProperty,43.55300651,-80.25968355
165 DIMSON AVENUE,1275000,06-May-21,1425000,7,3,1,2000,,Bungalow,Full,,,2020,7612.86,131.03,69.88,-,Village,ResidentialProperty,43.526676,-80.21655898
168 LONDON ROAD WEST,599000,19-Oct-21,715000,6,2,1,1100,100,1 1/2 Storey,Finished,,,2021,3042.16,99,36.69,712930060,Exhibition Park,ResidentialProperty,43.54623368,-80.26201306
168 VICTORIA AVENUE NORTH,499900,06-Oct-21,678000,7,4,,,99,Bungalow,Full,,,2021,3576.37,138,50,-,Central East,ResidentialProperty,,
169 DALLAN DRIVE,1089000,22-May-21,1090000,25,4,2,2000,5,2-Storey,Finished,,,2021,5939.84,104.99,29.53,-,Guelph South,ResidentialProperty,43.5040011,-80.1799479
17 BRYDGES COURT,729000,02-May-21,785000,5,3,,,30,2-Storey,Part Fin,,,2020,4132.06,111.02,29.66,714930522,Grange Hill East,ResidentialProperty,43.5709229,-80.22237365
17 DOMINION DRIVE,1175000,22-Aug-21,1131000,17,4,1,2000,15,2-Storey,Finished,,,2021,6364.38,110,38.48,711862507,Pine Ridge,ResidentialProperty,43.51175133,-80.17917
17 FAIRMEADOW DRIVE,850000,19-Oct-21,920000,5,3,1,1500,50,Sidesplit 4,Finished,2021,379000,2020,4300,110.04,49.02,712570192,Parkwood Gardens,ResidentialProperty,43.51699856,-80.27275467
17 KNEVITT PLACE,899900,08-Jun-21,885000,7,4,,1500,100,Sidesplit 5,Finished,,,2020,6108.26,107,90,-,Old University,ResidentialProperty,43.515778,-80.248716
17 MCTAGUE STREET,995000,01-Nov-21,1380000,5,4,1,2000,99,2 1/2 Storey,Finished,2021,564000,2021,6443,124,55.45,712990108,Exhibition Park,ResidentialProperty,43.55048813,-80.25824112
17 OLD COLONY TRAIL,875000,07-Jun-21,980000,6,3,1,1500,50,2-Storey,Finished,2016,444000,2020,4985.42,157.01,45.47,712200054,Kortright Hills,ResidentialProperty,43.50897657,-80.23971801
17 RIDGEWAY AVENUE,1399900,14-Sep-21,1600000,5,4,1,2500,99,2-Storey,Apartment,2021,648000,2021,7404.11,200,79.99,711860039,Pine Ridge,ResidentialProperty,43.51518507,-80.19434834
17 TRAILBROOK LANE,769900,18-Oct-21,821000,6,3,,1100,30,2-Storey,Full,2021,349000,2021,3987.71,101.71,29.53,713440191,Grange Hill East,ResidentialProperty,43.56090906,-80.22412371
17 UNIVERSITY AVENUE WEST,849900,24-Nov-21,1000000,7,3,1,1500,99,Sidesplit 4,Finished,2021,472000,2021,5393.11,56,99.84,712410045,Old University,ResidentialProperty,43.5327277,-80.2364068
17 WHITTAKER COURT,799000,19-May-21,950000,6,3,,,30,2-Storey,Finished,2021,388000,2021,4574,168.59,23.43,714890092,Kortright Hills,ResidentialProperty,43.50425967,-80.24483833
174 DEERPATH DRIVE,899900,27-Jul-21,900000,21,5,,,30,Backsplit 3,Sep Entrance,,,2021,5796,147.16,39.4,-,West Willow Woods,ResidentialProperty,43.52395191,-80.2697068
175 FARLEY DRIVE,879900,12-Nov-21,875000,14,2,1,1100,30,Bungalow,Apartment,2021,390000,2021,4560,104,49,711860671,Pine Ridge,ResidentialProperty,43.508003,-80.191975
177 GLASGOW STREET NORTH,989900,24-Sep-21,1175000,9,3,,2000,100,2 1/2 Storey,Half,2021,563000,2021,6288,104,52,712920096,Exhibition Park,ResidentialProperty,43.54601327,-80.25842587
179 HARVARD ROAD,739988,17-Aug-21,820000,10,4,,1100,50,Bungalow-Raised,Finished,,,2021,4090.54,108.27,54.46,712260089,Central West,ResidentialProperty,43.51753688,-80.22554025
18 BLAIR DRIVE,999900,26-May-21,1040000,9,5,,2000,30,2-Storey,Finished,2020,571000,2020,6458,,38,-,Pine Ridge,ResidentialProperty,43.51095592,-80.18694163
18 CARRINGTON PLACE,1099900,13-Oct-21,1149900,9,3,2,2500,30,2 1/2 Storey,Apartment,2021,546000,2021,6238,,24,-,Guelph South,ResidentialProperty,43.51160092,-80.2076691
18 CREIGHTON AVENUE,849900,01-Aug-21,887500,4,3,,1500,15,Bungalow,Full,2021,,2020,4906.82,110,39.48,714932361,Grange Hill East,ResidentialProperty,43.5716952,-80.2274831
18 PINNACLE CRESCENT,879900,03-May-21,880000,12,3,,1500,50,Bungalow,Finished,,,2021,4929.27,,60,-,West Willow Woods,ResidentialProperty,43.52388593,-80.27260889
18 SPRINGDALE BOULEVARD,599900,26-May-21,800000,6,3,1,700,50,Bungalow-Raised,Fin W/O,2020,309000,2020,3469.58,100,52,712570072,Parkwood Gardens,ResidentialProperty,43.51794567,-80.27341701
18 WALMAN DRIVE,699900,23-Nov-21,770100,6,3,2,1100,50,2-Storey,Finished,2021,353000,2021,4033.41,117.67,30.02,712230093,Hanlon Creek,ResidentialProperty,43.51568522,-80.22914566
180 COUNTRY CLUB DRIVE,669000,13-Aug-21,800000,2,3,1,700,50,Bungalow,Finished,2016,294000,2021,3359,117.9,36,713580472,Waverley,ResidentialProperty,43.57633209,-80.26855835
184 EDINBURGH ROAD NORTH,624900,01-May-21,785000,4,2,,700,100,Bungalow,Full,,,2020,4008.55,132,66.01,-,Onward Willow,ResidentialProperty,43.5416606,-80.2640555
184 WAVERLEY DRIVE,724900,21-Oct-21,724900,8,3,,,99,Bungalow,Finished,,,2021,3530.6,105,52,-,Waverley,ResidentialProperty,43.57246821,-80.25538606
186 RICKSON AVENUE,649900,09-Jun-21,710000,6,3,1,1100,30,2-Storey,Finished,,,2021,3873,117.01,31.17,-,Hanlon Creek,ResidentialProperty,43.51341525,-80.21178081
187 GOODWIN DRIVE,950000,29-Nov-21,1110250,5,3,,2000,15,Backsplit 5,Full,2021,447000,2021,5107.46,105,30,711863480,Pine Ridge,ResidentialProperty,43.512116,-80.1764871
188 STEVENSON STREET NORTH,419900,07-Jul-21,410000,8,3,,700,99,Bungalow,Part Bsmt,2016,234000,2021,2673.7,102.89,39.99,-,Central East,ResidentialProperty,43.5575373,-80.241065
189 GOODWIN DRIVE,949000,07-Oct-21,1050000,6,3,,1500,5,2-Storey,Full,2021,448000,2021,5118.89,104.99,30.18,711863481,Pine Ridge,ResidentialProperty,43.512139,-80.1764512
19 ALLISON PLACE,849900,15-Oct-21,785000,42,3,1,1100,50,Bungalow-Raised,Apartment,,,2021,4056.26,95,50.98,-,West Willow Woods,ResidentialProperty,43.51629936,-80.27646282
19 ATTO DRIVE,774900,14-Jul-21,907000,5,2,1,,,Bungalow,Finished,,,2021,4741,,46,230803002,Grange Hill East,ResidentialProperty,43.5826931,-80.2586272
19 CELIA CRESCENT,799999,14-Oct-21,860000,2,3,,1100,30,Backsplit 5,Full,2021,408000,2021,4662.17,125,49,712470386,Old University,ResidentialProperty,43.5264094,-80.2553493
19 KIMBERLEY DRIVE,819900,13-Oct-21,885000,6,3,1,1100,,Sidesplit 3,Walk-Up,,,2021,4837,90,73.31,-,Exhibition Park,ResidentialProperty,43.5518667,-80.2748377
19 MALVERN CRESCENT,1698000,30-Jul-21,1650000,25,4,1,3000,99,2-Storey,Finished,2021,712000,2021,8135,319,75,711860012,Pine Ridge,ResidentialProperty,43.51372536,-80.19537243
19 PORTER DRIVE,989900,01-Sep-21,982000,8,3,,1500,30,2-Storey,Finished,,,2021,5061.79,108,30,-,Pine Ridge,ResidentialProperty,43.50609528,-80.18878399
19 THORNHILL DRIVE,899900,17-May-21,1039900,5,3,,2000,50,2-Storey,Finished,,,2021,5715,196,55,-,West Willow Woods,ResidentialProperty,43.53390443,-80.29643719
19 WILTON ROAD,974900,06-Aug-21,1030000,1,3,1,1500,30,2-Storey,Full,,,2020,4993.2,131,36,-,Waverley,ResidentialProperty,43.57677117,-80.26919933
190 SEVERN DRIVE,685000,04-Aug-21,807000,7,3,,1500,15,2-Storey,Finished,2016,353000,2021,4033.41,110,29,713560677,Grange Hill East,ResidentialProperty,43.5775654,-80.2208664
192 AMBROUS CRESCENT,1100000,12-Nov-21,1370000,9,3,,2000,5,2-Storey,Full,,,2021,6880,115,39,715051291,Clairfields,ResidentialProperty,43.5275391,-80.2013406
193 DAWN AVENUE,1599900,28-Jun-21,1615000,10,4,1,2500,30,2-Storey,Apartment,2021,686000,2021,7838.3,190,50,714921016,Clairfields,ResidentialProperty,43.504605,-80.195359
193 LIVERPOOL STREET,549900,28-May-21,550000,25,2,,700,100,Bungalow,Crawl Space,,,2021,3379.75,59,38,-,Central West,ResidentialProperty,43.5433626,-80.261026
2 BLAIR DRIVE,1194500,15-Nov-21,1251000,3,4,1,3000,,2-Storey,Finished,2021,553000,2021,6318,,52,711860948,Guelph South,ResidentialProperty,43.510384,-80.187743
2 CHRISTOPHER COURT,750000,13-Sep-21,783000,4,3,,1100,50,2-Storey,Finished,2021,310000,2021,3542.09,69,39,712210012,Hanlon Creek,ResidentialProperty,43.511667,-80.238394
2 ELIOT PLACE,529900,26-Sep-21,655000,5,3,,1100,,Bungalow,W/O,,,2021,3416.4,122.74,29.86,-,Grange Hill East,ResidentialProperty,43.5657613,-80.237878
2 ERVIN CRESCENT,699900,14-Sep-21,892000,6,3,,1100,50,2-Storey,Finished,,,2021,4216.24,102.88,74.46,-,Kortright Hills,ResidentialProperty,43.511456,-80.232696
2 FOREST STREET SOUTH,1399900,05-Oct-21,1600000,5,2,3,3000,99,Bungalow,Finished,,,2021,8135.38,99,101,230806000,Old University,ResidentialProperty,,
2 WHISPERING RIDGE DRIVE,699900,02-Dec-21,800000,1,4,1,1100,50,2-Storey,Apartment,,,2021,3587.79,,47.93,712240031,Guelph South,ResidentialProperty,43.514713,-80.236311
20 CHARTWELL CRESCENT,619900,13-Jul-21,720000,4,2,2,,50,Backsplit 4,Finished,,,2021,3325,111.99,38.09,-,Old University,ResidentialProperty,43.51471579,-80.25257114
20 CREEKSIDE DRIVE,849999,25-Oct-21,855000,4,3,,1500,15,Backsplit 3,Finished,2021,363000,2021,4147,,44,-,Grange Hill East,ResidentialProperty,43.56931813,-80.21014709
20 GLADSTONE AVENUE,939999,09-Jul-21,940000,7,4,,1500,99,Sidesplit 3,Full,,,2021,5393,,56,-,Waverley,ResidentialProperty,43.56487926,-80.26129678
20 GLENBROOK DRIVE,829900,19-Oct-21,880000,6,3,2,,,Bungalow-Raised,Apartment,,,2021,3736,110,54,-,Brant,ResidentialProperty,43.57556616,-80.26430833
