ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
46 GREENWICH DRIVE,749900,03-May-21,980000,4,4,,1500,50,Backsplit 3,Finished,,,2021,5100,,62,-,West Willow Woods,ResidentialProperty,43.533144,-80.2999694
46 TALBOT STREET,799900,14-Sep-21,930000,8,2,2,,,Bungalow,Apartment,,,2020,6444.82,94,56,712410087,Old University,ResidentialProperty,43.530674,-80.239312
46 WOODBOROUGH ROAD,999000,03-Dec-21,1150000,8,4,1,,,2-Storey,Finished,,,2021,5394,,55,-,Kortright Hills,ResidentialProperty,43.50804037,-80.22778134
47 CARRINGTON PLACE,849900,04-Dec-21,870000,11,3,1,1500,30,2 1/2 Storey,Finished,,,2021,4673.27,150.72,31.32,230806001,Guelph South,ResidentialProperty,43.51292567,-80.20678506
47 HILLCREST DRIVE,959900,19-Oct-21,940000,29,2,1,,,Bungalow-Raised,Finished,2021,519000,2021,5918.74,99,39.9,713370056,Two Rivers,ResidentialProperty,43.55088442,-80.24190022
47 HILLDALE CRESCENT,1099900,17-Oct-21,1225000,3,3,,2000,30,2-Storey,Finished,2021,512000,2021,5850,120,56,714900514,Hanlon Creek,ResidentialProperty,43.50690714,-80.22458229
47 MENZIE AVENUE,499999,08-Jun-21,640500,6,3,,700,,1 1/2 Storey,Full,,,2021,3222.15,80,34,-,Two Rivers,ResidentialProperty,43.54924461,-80.22422433
48 BALMORAL DRIVE,785000,05-Dec-21,985000,4,3,1,1100,99,2-Storey,Finished,,,2021,4467.6,110,56.23,713040061,Waverley,ResidentialProperty,43.57510035,-80.25824751
48 KEYS CRESCENT,999900,10-May-21,1175100,4,3,1,1500,15,Bungalow,Finished,2021,508000,2020,5740,117.32,57.32,714921082,Clairfields,ResidentialProperty,43.500586,-80.199768
48 SUNNYLEA CRESCENT,699900,19-Aug-21,690000,55,2,1,700,,Bungalow,Finished,,,2021,3953.43,96.58,91.6,-,Waverley,ResidentialProperty,43.55980538,-80.25484558
491 PAISLEY ROAD,499900,11-Jun-21,500000,14,3,,,,1 1/2 Storey,Full,2021,244000,2021,2788,100,50,712740098,Onward Willow,ResidentialProperty,43.53627463,-80.269438
497 PAISLEY ROAD,575000,18-May-21,570000,6,2,1,,,1 1/2 Storey,Finished,2021,251000,2021,3301,100,50,712740100,Onward Willow,ResidentialProperty,43.5361903,-80.2695545
5 ARBORDALE WALK,1199900,01-Nov-21,1860000,7,2,1,1500,15,Bungalow,Full,,,2021,4909,80,50,-,Village,ResidentialProperty,43.53093457,-80.21642886
5 CONRAD COURT,549000,18-Oct-21,735000,6,3,2,700,50,Bungalow,Finished,2021,302000,2021,3450.68,98,53.12,713470118,Grange Hill East,ResidentialProperty,43.563936,-80.234855
5 KOCH DRIVE,749900,28-Jun-21,801000,5,3,1,,50,2-Storey,Finished,,,2021,4216,161,29,-,Hanlon Creek,ResidentialProperty,43.51516808,-80.2289944
5 SAINT ANDREW STREET,850000,28-Apr-21,855000,7,4,1,1500,99,1 1/2 Storey,Finished,,,2020,4211,75,63,-,Exhibition Park,ResidentialProperty,,
5 SIMCOE STREET,615000,01-Sep-21,606000,54,3,1,1100,,1 1/2 Storey,Full,,,2020,2942,122.29,44.19,713430091,Two Rivers,ResidentialProperty,43.55288446,-80.22739892
5 WIDEMAN BOULEVARD,988800,14-Sep-21,1095000,5,3,1,2000,15,2-Storey,Finished,2021,447000,2021,5152.46,113,31,713581153,Brant,ResidentialProperty,43.5805247,-80.2674155
50 HURON STREET,499900,22-May-21,475000,23,2,,700,100,Bungalow,Unfinished,2021,246000,2020,2762.43,74,40,713420013,Central East,ResidentialProperty,43.5490916,-80.238028
512 WHITELAW ROAD,599900,04-Jun-21,590000,9,3,,,,2-Storey,Finished,,,2020,3413,100,43,-,West Willow Woods,ResidentialProperty,43.51444286,-80.28101294
516 PAISLEY ROAD,574900,13-Jul-21,575000,14,4,,1100,99,1 1/2 Storey,Crawl Space,,,2020,2504,100,49,-,Onward Willow,ResidentialProperty,43.5353374,-80.2701994
517 STARWOOD DRIVE,860000,28-May-21,925000,3,3,,1500,15,2-Storey,Finished,,,2021,4730.4,118.57,30.28,-,Grange Hill East,ResidentialProperty,43.57185556,-80.23621259
52 STARVIEW CRESCENT,739900,27-Jun-21,745000,12,3,1,1100,30,2-Storey,Finished,,,2020,3997.32,109.91,31.82,714930351,Grange Hill East,ResidentialProperty,43.56596694,-80.22820255
52 TORONTO STREET,749900,30-May-21,725000,24,3,1,1500,100,2 1/2 Storey,Finished,2021,321000,2020,3686.36,66,33,713400043,Two Rivers,ResidentialProperty,43.5440785,-80.2366302
52 WATT STREET,499900,22-Sep-21,678910,7,3,,1100,30,2-Storey,Finished,,,2020,3197,,60,-,Grange Hill East,ResidentialProperty,43.56641265,-80.23438566
53 PERIWINKLE WAY,779900,27-May-21,840000,8,3,1,1100,30,2-Storey,Finished,,,2021,4525,105,33,-,Pine Ridge,ResidentialProperty,43.51032275,-80.19033838
539 STARWOOD DRIVE,949900,24-Jun-21,1035000,2,3,,2000,15,2-Storey,Finished,,,2021,5244.58,114.45,30.28,-,Grange Hill East,ResidentialProperty,43.57285905,-80.23490596
54 BUSHMILLS CRESCENT,849900,22-Jul-21,845000,22,3,,1500,30,Backsplit 4,Finished,2021,388000,2021,4641.9,,30.54,-,West Willow Woods,ResidentialProperty,43.52828215,-80.27792174
54 CLIVE AVENUE,1050000,09-Nov-21,1502000,6,3,,,,Bungalow,Finished,,,2021,5073.18,155,73,-,Waverley,ResidentialProperty,43.56542707,-80.2658397
54 KOCH DRIVE,639900,29-May-21,660000,4,3,,1100,50,2-Storey,Part Fin,2021,346000,2020,3885.04,112,40,712230166,Guelph South,ResidentialProperty,43.51478369,-80.227278
540 COLLEGE AVENUE WEST,769000,03-May-21,725000,32,3,,700,50,Bungalow,Finished,2021,378000,2020,4450,,54,712500010,College,ResidentialProperty,43.51496033,-80.25569131
541 STARWOOD DRIVE,849900,27-Oct-21,975000,5,3,1,1500,15,2-Storey,Full,2021,472000,2021,5393.11,113.83,30.28,713490299,Grange Hill East,ResidentialProperty,43.57294905,-80.23477259
55 VANCOUVER DRIVE,749000,12-May-21,722000,14,2,2,,,Bungalow,Finished,2021,325000,2021,3478,117,60,713290104,Central East,ResidentialProperty,43.5621988,-80.2397615
556 STARWOOD DRIVE,989900,05-Oct-21,1150000,7,3,,,15,2-Storey,Fin W/O,,,2021,5713.05,108.25,29.8,-,Grange Hill East,ResidentialProperty,43.573711,-80.234007
561 KORTRIGHT ROAD WEST,679900,22-Sep-21,791000,5,3,1,,50,Bungalow-Raised,Finished,,,2021,3436,110,60,-,Hanlon Creek,ResidentialProperty,43.508878,-80.231376
57 KOCH DRIVE,689900,04-Oct-21,739000,3,3,2,1100,50,2-Storey,Fin W/O,2021,361000,2021,4124.82,106,29.82,712230129,Hanlon Creek,ResidentialProperty,43.51471069,-80.22700358
57 PAUL AVENUE,780000,06-May-21,780000,9,5,,,50,Bungalow,Finished,2021,349000,2020,3918.72,97.4,60.01,713110097,Waverley,ResidentialProperty,43.5628498,-80.2581034
58 BUSHMILLS CRESCENT,699900,15-Jun-21,760000,6,3,1,,30,2-Storey,Finished,,,2020,4444.75,111.6,30.54,712580175,Parkwood Gardens,ResidentialProperty,43.52814843,-80.27810288
58 CARRINGTON PLACE,1099000,26-Nov-21,1099000,14,3,2,,,2-Storey,Apartment,,,2021,6512.87,145.01,31.17,714920515,Guelph South,ResidentialProperty,43.51258281,-80.20666055
58 MUNROE CRESCENT,999900,04-Sep-21,1140000,5,4,,2500,30,2-Storey,Finished,2021,612000,2021,6992,121,39,71492066,Clairfields,ResidentialProperty,43.49937261,-80.19476481
58 SLEEMAN AVENUE,729900,20-May-21,780000,9,3,1,700,,Bungalow,Finished,,,2020,3379.75,100,54.99,-,Onward Willow,ResidentialProperty,43.5378571,-80.2746881
59 PORTER DRIVE,999900,08-Oct-21,990000,39,3,,,,2-Storey,Finished,,,2021,5919,103.47,30.38,-,Pine Ridge,ResidentialProperty,43.50493732,-80.19019567
59 VANIER DRIVE,899900,12-May-21,965000,6,4,,1500,99,2-Storey,Finished,2021,452000,2020,5075.25,100,54.99,712470111,Old University,ResidentialProperty,43.52466331,-80.24747088
595 ERAMOSA ROAD,689900,31-Aug-21,685000,55,5,,2000,100,2-Storey,Full,,,2021,4727.14,,78.18,-,Grange Hill East,ResidentialProperty,43.568971,-80.247579
6 BAGOT STREET,699900,05-Oct-21,725000,8,2,,1100,,2-Storey,Full,,,2021,3439,80,44,-,Onward Willow,ResidentialProperty,43.5397412,-80.2647965
6 HAMEL AVENUE,849900,05-Jul-21,830000,41,3,1,700,99,Bungalow,Finished,,,2020,4256,105,65,712940212,Exhibition Park,ResidentialProperty,43.54473117,-80.26540125
