,FID,GPID,address,shp__area,DA_ID,pop_2016,pop_2011,pop_chng_p,pop_dens,land_area,dwell_dens,0_14_yrs,15_64_yrs,65_plus_yr,20_24_yrs,20_24_pct,0_14_pct,15_64_pct,65_pls_pct,pop_age_av,dwellings,s_d_h,s_d_h_pct,hs_size_av,dwl_chld,dwl_chld_p,ave_inc,median_val,ave_val,owner,owner_pct,rentr,rentr_pct,own_30pls,rnt_30pls,rent_av,highr_ed,bach,bach_pct,mast,mast_pct,doct,doct_pct,unemployme,commute,transit,transit_p,walk,walk_pct,bicyc,bicyc_pct,mvrs_1yr_p,mvrs_3yr_p,noise_km,bark_km,bylaw_km,other_km,total_km,school_sco,trees_km,ws_ave,bs_ave,n_hood,ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,SIZE_SQFT,AGE,STYLE,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,LAT,LON
967,31130,2000000063,2 CHRISTOPHER COURT,3840.234375,35230181.0,577.0,545.0,5.9,2680.0,0.2,1131.8,95.0,310.0,175.0,55.0,9.6,16.5,53.9,30.4,46.8,230.0,25.0,10.9,2.1,95.0,41.3,36637.0,259885.0,271452.0,105.0,43.8,130.0,54.2,42.9,42.3,715.0,430.0,70.0,16.3,20.0,4.7,0.0,0.0,20.4,200.0,30.0,15.0,20.0,10.0,10.0,5.0,15.6,43.8,75.727,3.86953807,6.07298946,539.71838379,625.38574219,5.98,0.0,20.518,29.736,Hanlon Creek,2 CHRISTOPHER COURT,750000.0,"September 13, 2021",783000.0,4.0,3.0,1100.0,50.0,Storey,2021.0,310000.0,2021.0,3542.09,69.0,39.0,43.511667,-80.238394
1032,6996,2000003733,41 WALMAN DRIVE,17418.046875,35230187.0,518.0,518.0,0.0,1134.2,0.5,626.1,70.0,415.0,35.0,100.0,19.4,13.6,80.6,6.8,34.1,185.0,150.0,81.1,2.8,70.0,37.8,61169.0,376295.00000000006,378152.99999999994,115.0,67.6,60.0,35.3,0.0,66.7,1493.0,445.0,135.0,30.3,25.0,5.6,10.0,2.2,5.7,285.0,15.0,5.3,30.0,10.5,0.0,0.0,15.2,38.4,106.522,1.7081871,5.33634281,445.69750977,559.26019287,5.98,9.61819561,44.333,57.556,Hanlon Creek,41 WALMAN DRIVE,699000.0,"October 19, 2021",875000.0,6.0,3.0,,,Storey,2015.0,280500.0,2021.0,4181.95,122.0,30.0,43.51528513,-80.22784198
1045,26861,2000003789,54 KOCH DRIVE,17418.046875,35230187.0,518.0,518.0,0.0,1134.2,0.5,626.1,70.0,415.0,35.0,100.0,19.4,13.6,80.6,6.8,34.1,185.0,150.0,81.1,2.8,70.0,37.8,61169.0,376295.00000000006,378152.99999999994,115.0,67.6,60.0,35.3,0.0,66.7,1493.0,445.0,135.0,30.3,25.0,5.6,10.0,2.2,5.7,285.0,15.0,5.3,30.0,10.5,0.0,0.0,15.2,38.4,106.572,1.90090251,5.17793751,453.4112854,567.0581665,5.98,0.0,44.382,59.289,Hanlon Creek,54 KOCH DRIVE,639900.0,"May 29, 2021",660000.0,4.0,3.0,1100.0,50.0,Storey,2021.0,346000.0,2020.0,3885.04,112.0,40.0,43.51478369,-80.227278
1104,428,2000029465,127 IRONWOOD ROAD,54642.21875,35230194.0,704.0,795.0,-11.4,2287.2,0.3,1261.3,135.0,535.0,30.0,110.0,15.6,19.1,75.9,4.3,31.9,275.0,90.0,32.7,2.6,140.0,50.9,49139.0,311043.00000000006,321296.99999999994,95.0,33.9,185.0,66.1,38.9,44.4,1012.0,575.0,135.0,23.5,35.0,6.1,20.0,3.5,12.5,330.0,50.0,15.2,35.0,10.6,0.0,0.0,15.9,42.8,132.19,2.74078822,7.93393135,633.01116943,775.87329102,5.98,2.76431620468,34.521,39.438,Hanlon Creek,127 IRONWOOD ROAD,680000.0,"June 04, 2021",675000.0,28.0,3.0,1100.0,,Storey,,,2020.0,3727.84,112.56,29.86,43.51490927,-80.23251394
1112,8251,2000003771,18 WALMAN DRIVE,22142.01953125,35230187.0,518.0,518.0,0.0,1134.2,0.5,626.1,70.0,415.0,35.0,100.0,19.4,13.6,80.6,6.8,34.1,185.0,150.0,81.1,2.8,70.0,37.8,61169.0,376295.00000000006,378152.99999999994,115.0,67.6,60.0,35.3,0.0,66.7,1493.0,445.0,135.0,30.3,25.0,5.6,10.0,2.2,5.7,285.0,15.0,5.3,30.0,10.5,0.0,0.0,15.2,38.4,103.25,1.66972601,5.33290768,441.72613525,551.97503662,5.98,25.1775618899,45.26,58.805,Hanlon Creek,18 WALMAN DRIVE,699900.0,"November 23, 2021",770100.0,6.0,3.0,1100.0,50.0,Storey,2021.0,353000.0,2021.0,4033.41,117.67,30.02,43.51568522,-80.22914566
1115,1689,2000003816,28 WALMAN DRIVE,22142.01953125,35230187.0,518.0,518.0,0.0,1134.2,0.5,626.1,70.0,415.0,35.0,100.0,19.4,13.6,80.6,6.8,34.1,185.0,150.0,81.1,2.8,70.0,37.8,61169.0,376295.00000000006,378152.99999999994,115.0,67.6,60.0,35.3,0.0,66.7,1493.0,445.0,135.0,30.3,25.0,5.6,10.0,2.2,5.7,285.0,15.0,5.3,30.0,10.5,0.0,0.0,15.2,38.4,104.122,1.67150986,5.36481857,445.18887329,556.34393311,5.98,9.61819561,47.124,59.843,Hanlon Creek,28 WALMAN DRIVE,649000.0,"June 26, 2021",649000.0,5.0,4.0,1100.0,30.0,Storey,2021.0,331000.0,2021.0,3782.0,123.73,38.65,43.515522,-80.228621
1376,2138,2000018499,46 WOODBOROUGH ROAD,79087.93359375,35230184.0,430.0,451.0,-4.7,3100.2,0.1,1142.9,65.0,305.0,55.0,30.0,7.0,15.1,70.9,12.8,40.5,150.0,140.0,93.3,3.0,80.0,53.3,81514.0,460227.00000000006,448468.99999999994,145.0,96.7,0.0,0.0,13.3,0.0,0.0,385.0,155.0,40.3,25.0,6.5,15.0,3.9,5.2,270.0,15.0,5.6,10.0,3.7,0.0,0.0,6.7,23.3,55.831,2.31832671,3.57902098,334.22476196,395.95065308,5.98,71.2477142949,42.672,31.639,Hanlon Creek,46 WOODBOROUGH ROAD,999000.0,"December 03, 2021",1150000.0,8.0,4.0,,,Storey,,,2021.0,5394.0,,55.0,43.50804037,-80.22778134
1408,42309,2000018445,47 HILLDALE CRESCENT,83085.65234375,35230186.0,212.0,229.0,-7.4,3752.2,0.1,1316.7,35.0,155.0,25.0,25.0,11.9,16.7,73.8,11.9,39.4,70.0,65.0,92.9,2.9,40.0,57.1,,499715.00000000006,472583.00000000006,70.0,100.0,0.0,0.0,,,0.0,185.0,90.0,48.6,20.0,10.8,15.0,8.1,7.7,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,40.635,1.91414452,2.06403971,150.30279541,194.9120636,5.98,13.8590810155,17.667,33.982,Hanlon Creek,47 HILLDALE CRESCENT,1099900.0,"October 17, 2021",1225000.0,3.0,3.0,2000.0,30.0,Storey,2021.0,512000.0,2021.0,5850.0,120.0,56.0,43.50690714,-80.22458229
1524,25775,2000011894,561 KORTRIGHT ROAD WEST,17357.5390625,35230183.0,409.0,453.0,-9.7,2664.5,0.2,1360.0,40.0,295.0,80.0,35.0,8.5,9.8,72.0,19.5,44.0,165.0,155.0,93.9,2.5,60.0,36.4,67077.0,400002.0,387082.0,145.0,87.9,25.0,15.2,0.0,0.0,0.0,375.0,120.0,32.0,25.0,6.7,10.0,2.7,3.6,255.0,25.0,9.8,20.0,7.8,0.0,0.0,13.9,22.8,71.077,3.09538531,4.73576784,423.00747681,501.91439819,5.98,23.0767518937,29.814,32.831,Hanlon Creek,561 KORTRIGHT ROAD WEST,679900.0,"September 22, 2021",791000.0,5.0,3.0,,50.0,Bungalow,,,2021.0,3436.0,110.0,60.0,43.508878,-80.231376
1533,18714,2000000222,93 STEFFLER DRIVE,33444.26171875,35230182.0,435.0,459.0,-5.2,2837.6,0.2,1586.7,50.0,335.0,50.0,85.0,19.5,11.5,77.0,11.5,36.4,170.0,105.0,61.8,2.6,50.0,29.4,51473.0,399536.99999999994,388339.00000000006,80.0,57.1,55.0,39.3,0.0,45.5,979.0,315.0,70.0,22.2,15.0,4.8,10.0,3.2,12.8,190.0,10.0,5.3,20.0,10.5,10.0,5.3,32.4,45.1,90.724,4.66446877,6.84833622,536.93695068,639.17089844,5.98,46.9577881606,27.494,37.532,Hanlon Creek,93 STEFFLER DRIVE,549900.0,"August 20, 2021",630000.0,4.0,3.0,1100.0,50.0,Storey,,,2021.0,4319.0,108.0,49.8,43.51024992,-80.23649551
